,Column1,ID,Reference,Received,Confirmed,Farm,Field,Crop,EC  mS/cm,Phosphorus (Sap-ICP) ppm,Potassium (Sap-ICP) ppm,Calcium (Sap-ICP) ppm,Manganese (Sap-ICP) ppm,Zinc (Sap-ICP) ppm,Sulfur (Sap-ICP) ppm,Copper (Sap-ICP) ppm,Magnesium (Sap-ICP) ppm,Iron (Sap-ICP) ppm,Boron (Sap-ICP) ppm,Brix (Sap) %,pH (sap),Cl (sap) ppm,Sodium (Sap-ICP) ppm,Silicon (Sap-ICP) ppm,Aluminium (Sap-ICP) ppm,Cobalt (Sap-ICP) ppm,Molybdenum (Sap-ICP) ppm,N (sap) ppm,Total Sugars g/100g,NH4-N mg/kg,TN~ mg/kg
66,71,1904907,,2019-06-29T04:00:00,2019-07-02T22:57:08,Ozadia,Fisher001,Hemp,15.65,99,5959,1413,1.7,7.2,224,1.4,668,0.52,4.3,8.7,7.8,1265,24,121,-0.05,-0.05,0.2,571,0.3577,0.2,
67,71,1904907,,2019-06-29T04:00:00,2019-07-02T22:57:08,Ozadia,Fisher001,Hemp,15.65,99,5959,1413,1.7,7.2,224,1.4,668,0.52,4.3,8.7,7.8,1265,24,121,-0.05,-0.05,0.2,571,0.3577,0.2,
68,40,1920069,,2020-09-23T14:00:00,2020-09-26T05:19:03,Soil Basics,WOOLF - 7-3 Old,Pistachio,7.1,307,5950,28,12,41,331,5.67,1130,7.76,129,18.5,4.9,2630,246,8.24,4.1,0.07,0.99,71,1.92,15,3240
69,60,1913325,,2020-05-07T04:00:00,2020-05-08T09:07:06,Jamie Eddy,#5 New,Hemp,12.2,255,5927,1196,1.5,1.3,591,4.4,577,1.4,50,5.3,7.2,1133,16,154,0.32,6.4,5.8,372,0.4,-0.01,244
70,126,1915098,,2020-06-18T14:00:00,2020-06-20T11:14:09,Bevans Ag,Anderson East New,Wheat,14.4,559,5922,511,3.94,1.07,524,0.48,244,1.53,0.6,9.5,5.2,1912,26,184,0.27,-0.01,-0.01,266,1.2,77.5,3570
71,64,1913322,,2020-05-07T04:00:00,2020-05-08T09:07:26,Jamie Eddy,IND Old,Hemp,4.98,78,5920,1473,4.5,3.1,813,5.5,693,1.9,111,7.7,7.5,1579,120,139,1.3,7.7,5.8,1741,0.55,-0.01,1640
72,48,1920732,,2020-10-16T03:17:00,2020-10-17T05:24:39,Jason Farrington,Sample #3 Old,Hemp,10.36,118,5920,1610,9.59,16,762,5.67,659,2.52,171,7.2,7.5,3850,42,91,0.09,0.95,0.03,244,0.5,57.5,4580
73,80,1926472,,2021-02-24T06:46:00,2021-02-27T01:47:31,High Life Farms,F9 - Sundae Driver Old,Hemp,7.56,154,5911,861,0.96,1.2,118,-0.01,310,0.06,4.8,2.7,6.4,475,2.3,33,-0.01,-0.01,-0.01,1443,0.15,55,3490
74,104,1905455,,2019-07-17T04:00:00,2019-07-18T09:08:35,Soil Doctor Consulting,Kush,Hemp,17.47,73,5904,6000,8.3,4.7,630,0.75,1588,7.3,6.4,11.1,7,1498,16,151,-0.05,-0.05,0.36,222,,,
75,104,1905455,,2019-07-17T04:00:00,2019-07-18T09:08:35,Soil Doctor Consulting,Kush,Hemp,17.47,73,5904,6000,8.3,4.7,630,0.75,1588,7.3,6.4,11.1,7,1498,16,151,-0.05,-0.05,0.36,222,,,
76,104,1905455,,2019-07-17T04:00:00,2019-07-18T09:08:35,Soil Doctor Consulting,Kush,Hemp,17.47,73,5904,6000,8.3,4.7,630,0.75,1588,7.3,6.4,11.1,7,1498,16,151,-0.05,-0.05,0.36,222,,,
77,85,1910299,,2019-12-13T06:00:00,2019-12-17T07:42:34,Soil Doctor Consulting,Dos Old,Hemp,20.37,123,5879,2181,21,16,629,14,836,4.6,20,7.2,7.3,2432,62,97,-0.01,5.2,1.7,6796,,,
78,85,1910299,,2019-12-13T06:00:00,2019-12-17T07:42:34,Soil Doctor Consulting,Dos Old,Hemp,20.37,123,5879,2181,21,16,629,14,836,4.6,20,7.2,7.3,2432,62,97,-0.01,5.2,1.7,6796,,,
79,85,1910299,,2019-12-13T06:00:00,2019-12-17T07:42:34,Soil Doctor Consulting,Dos Old,Hemp,20.37,123,5879,2181,21,16,629,14,836,4.6,20,7.2,7.3,2432,62,97,-0.01,5.2,1.7,6796,,,
80,77,1912977,,2020-04-25T04:00:00,2020-04-30T01:20:43,Natural Ecosystem Restoration,Ty Gin Old,Wheat,16.37,615,5874,804,7.6,2.2,869,1.3,550,0.81,3.3,8.7,6.1,3300,54,108,2.9,-0.01,0.12,190,0.96,134,3400
81,77,1912977,,2020-04-25T04:00:00,2020-04-30T01:20:43,Natural Ecosystem Restoration,Ty Gin Old,Wheat,16.37,615,5874,804,7.6,2.2,869,1.3,550,0.81,3.3,8.7,6.1,3300,54,108,2.9,-0.01,0.12,190,0.96,134,3400
82,77,1912977,,2020-04-25T04:00:00,2020-04-30T01:20:43,Natural Ecosystem Restoration,Ty Gin Old,Wheat,16.37,615,5874,804,7.6,2.2,869,1.3,550,0.81,3.3,8.7,6.1,3300,54,108,2.9,-0.01,0.12,190,0.96,134,3400
83,1,1911586,,2020-02-27T06:00:00,2020-02-28T05:45:44,Jamie Eddy,IND New,Hemp,17.83,93,5839,1151,1,7.5,729,2,479,0.67,18,6.5,8.1,1391,54,127,-0.01,0.8,0.14,2255,,,
84,1,1918362,,2020-08-17T14:00:00,2020-08-19T06:09:39,Holmes Environmental,M60 S New,Apple,7.49,871,5838,2670,5.39,1.64,668,0.64,888,2.55,5.63,16.6,6.1,2830,273,96,1.11,0.04,3.23,107,6.26,2,987
85,63,1915063,,2020-06-18T14:00:00,2020-06-20T10:25:49,Natural Ecosystem Restoration,Hart 3 New,Corn,15,732,5817,323,6.87,1.78,159,0.97,375,1.34,0.96,5.7,5.9,3223,55.4,211,0.97,-0.01,-0.01,403,0.6,160.5,3170
86,72,1904908,,2019-06-29T04:00:00,2019-07-02T22:57:13,Ozadia,Fisher001,Hemp,19.04,37,5795,1805,5.5,3.5,260,0.79,1122,1.1,8.7,7.8,7.7,2627,35,122,-0.05,0.08,0.19,527,0.0548,1.01,
87,72,1904908,,2019-06-29T04:00:00,2019-07-02T22:57:13,Ozadia,Fisher001,Hemp,19.04,37,5795,1805,5.5,3.5,260,0.79,1122,1.1,8.7,7.8,7.7,2627,35,122,-0.05,0.08,0.19,527,0.0548,1.01,
88,72,1904908,,2019-06-29T04:00:00,2019-07-02T22:57:13,Ozadia,Fisher001,Hemp,19.04,37,5795,1805,5.5,3.5,260,0.79,1122,1.1,8.7,7.8,7.7,2627,35,122,-0.05,0.08,0.19,527,0.0548,1.01,
89,69,1913328,,2020-05-07T04:00:00,2020-05-08T09:07:51,Jamie Eddy,#7 Old,Hemp,14.5,54,5793,1238,3,5.5,664,11,950,2,125,5.9,7.8,1593,524,191,0.81,6.9,3.2,6778,0.15,-0.01,2520
90,3,1912620,,2020-04-14T04:00:00,2020-04-15T06:56:56,Natural Ecosystem Restoration,East,Rye grass,14.8,353,5786,743,7.3,4.6,341,0.53,261,2.1,1.8,10,6.8,3744,67,80,-0.01,0.02,0.25,403,0.74,35,4560
91,3,1912620,,2020-04-14T04:00:00,2020-04-15T06:56:56,Natural Ecosystem Restoration,East,Rye grass,14.8,353,5786,743,7.3,4.6,341,0.53,261,2.1,1.8,10,6.8,3744,67,80,-0.01,0.02,0.25,403,0.74,35,4560
92,3,1912620,,2020-04-14T04:00:00,2020-04-15T06:56:56,Natural Ecosystem Restoration,East,Rye grass,14.8,353,5786,743,7.3,4.6,341,0.53,261,2.1,1.8,10,6.8,3744,67,80,-0.01,0.02,0.25,403,0.74,35,4560
93,54,1914643,,2020-06-11T04:00:00,2020-06-12T08:48:55,Attitude Wellness,Lightsaber FR 10 New,Hemp,14.3,127,5782,974,11.8,12.7,630,0.71,1430,2.03,30.6,9.9,7.8,463,5.65,70,-0.01,-0.01,3.45,1511,0.48,127,3960
94,47,1920730,,2020-10-16T03:17:00,2020-10-17T05:24:38,Jason Farrington,Sample #2 Old,Hemp,11.06,79,5780,1680,6.03,8.3,586,2.28,644,1.35,71,6.3,7.2,3875,18,107,0.07,0.47,-0.01,755,0.35,85,4130
95,92,1911697,,2020-03-04T06:00:00,2020-03-05T06:37:47,Jamie Eddy,GH# 1 New,Hemp,15.67,126,5779,964,0.24,5.5,376,1.4,434,2.9,2.5,7.2,7.7,2037,48,137,-0.01,0.08,0.3,961,,,
96,130,1915103,,2020-06-18T14:00:00,2020-06-20T11:14:29,Bevans Ag,Barrus SE New,Barley,13.2,351,5768,504,1.08,1.66,684,0.94,246,2.37,0.81,12.5,5.7,819,46,174,0.19,-0.01,0.02,952,4.15,52.3,3540
97,91,1913122,,2020-05-01T04:00:00,2020-05-02T07:48:07,Attitude Wellness,Bloodstar FR7 New,Hemp,10.21,639,5763,842,4.6,12,371,1.1,724,10,16,14.5,6.7,789,49,79,1.5,0.04,2.9,213,4.75,-0.01,536
