Batch ID,Title,Client Batch ID,Client Number,Client Name,SDG Received Date/Time,Incubation Date/Time
B-1101,1023201028FL,1023201028FL,NAL15-023,Accutek Home Inspections,10/23/2020 10:28,10/23/2020 15:56
B-1102,1023201118FL,1023201118FL,NAL18-185,King Realty,10/23/2020 11:18,10/23/2020 15:56
B-1103,1026200845FL,1026200845FL,NAL15-023,Accutek Home Inspections,10/26/2020 8:45,10/26/2020 15:55
B-1104,1026201253FL,1026201253FL,NAL18-045,Blinker's Restaurant,10/26/2020 12:53,10/26/2020 15:55
B-1105,1026201255FL,1026201255FL,NAL18-169,The Linking Center,10/26/2020 12:55,10/26/2020 15:55
B-1106,1026201505FL,1026201505FL,NAL15-056,Guardian Home Inspections,10/26/2020 15:05,10/26/2020 15:55
B-1107,1026201555FL,1026201555FL,NAL16-026,Casco United Methodist Church,10/26/2020 15:55,10/26/2020 16:02
B-1108,1027201428FL,1027201428FL,NAL15-023,Accutek Home Inspections,10/27/2020 14:28,10/27/2020 15:55
B-1109,1028201110FL,1028201110FL,NAL18-097,Glenn Vineyard,10/28/2020 11:10,10/28/2020 16:02
B-1110,1028201656FL,1028201656FL,NAL19-034,Revolution Farms,10/28/2020 16:56,10/28/2020 16:59
B-1111,1029201338FL,1029201338FL,NAL19-117,The Fields,10/29/2020 13:38,10/29/2020 15:57
B-1112,1029201405FL,1029201405FL,NAL20-176,Phoenix Farm Market,10/29/2020 14:05,10/29/2020 15:57
B-1113,1029201529FL,1029201529FL,NAL11-049B,Lakeshore Homestead,10/29/2020 15:29,10/29/2020 15:57
B-1114,1102201414FL,1102201414FL,NAL17-046,KalHaven Out Post,11/2/2020 14:14,11/2/2020 16:05
B-1115,1102201440FL,1102201440FL,NAL19-034,Revolution Farms,11/2/2020 14:40,11/2/2020 16:05
B-1116,1102201441FL,1102201441FL,NAL19-034,Revolution Farms,11/2/2020 14:41,11/2/2020 16:09
B-1117,1102201652FL,1102201652FL,NAL19-177,Christine Skandis,11/2/2020 16:52,11/2/2020 16:56
B-1118,1103200938FL,1103200938FL,NAL18-044,Sister Lakes,11/3/2020 9:38,11/3/2020 15:51
B-1119,1103201041FL,1103201041FL,NAL15-106,True Blue Farms,11/3/2020 10:41,11/3/2020 15:51
B-1120,1103201111FL,1103201111FL,NAL20-200,Charles Ralis,11/3/2020 11:11,11/3/2020 15:51
B-1121,1103201419FL,1103201419FL,NAL15-023,Accutek Home Inspections,11/3/2020 14:19,11/3/2020 15:51
B-1122,1106200958FL,1106200958FL,NAL20-202,Lucie de Sancy,11/6/2020 9:58,11/6/2020 15:58
B-1123,1109201033FL,1109201033FL,NAL15-023,Accutek Home Inspections,11/9/2020 10:33,11/9/2020 15:51
B-1124,1109201541FL,1109201541FL,NAL16-034,Mr. Grocery,11/9/2020 15:41,11/9/2020 15:51
B-1125,1110201056FL,1110201056FL,NAL18-187,Van Buren State Park,11/10/2020 10:56,11/10/2020 16:04
B-1126,1110201057FL,1110201057FL,NAL18-187,Van Buren State Park,11/10/2020 10:57,11/10/2020 16:04
B-1127,1110201639FL,1110201639FL,NAL19-177,Christine Skandis,11/10/2020 16:39,11/10/2020 16:44
B-1128,1111201058FL,1111201058FL,NAL18-187,Van Buren State Park,11/11/2020 10:58,11/11/2020 16:00
B-1129,1113201209FL,1113201209FL,NAL15-168,First Congregational Church,11/13/2020 12:09,11/13/2020 16:05
B-1130,1113201336FL,1113201336FL,NAL16-104,John Johnson,11/13/2020 13:36,11/13/2020 16:05
B-1131,1116201426FL,1116201426FL,NAL19-034,Revolution Farms,11/16/2020 14:26,11/16/2020 15:56
B-1132,1116201428FL,1116201428FL,NAL19-034,Revolution Farms,11/16/2020 14:28,11/16/2020 16:01
B-1133,1116201504FL,1116201504FL,NAL15-023,Accutek Home Inspections,11/16/2020 15:04,11/16/2020 15:56
B-1134,1117200758FL,1117200758FL,NAL20-208,Alejandro Guzman,11/17/2020 7:58,11/17/2020 15:51
B-1135,1118200939FL,1118200939FL,NAL15-023,Accutek Home Inspections,11/18/2020 9:39,11/18/2020 15:54
B-1136,1118201451FL,1118201451FL,NAL16-189,Grace Apostolic Tabernacle,11/18/2020 14:51,11/18/2020 15:54
B-1137,1119200941FL,1119200941FL,NAL15-023,Accutek Home Inspections,11/19/2020 9:41,11/19/2020 16:15
B-1138,1119200942FL,1119200942FL,NAL15-023,Accutek Home Inspections,11/19/2020 9:42,11/19/2020 16:15
B-1139,1119201018FL,1119201018FL,NAL12-001,Bronson Wellness Center-South Haven,11/19/2020 10:18,11/19/2020 16:15
B-1140,1119201111FL,1119201111FL,NAL18-096,"Dowd Properties, LLC",11/19/2020 11:11,11/19/2020 16:15
B-1141,1119201555FL,1119201555FL,NAL20-208,Alejandro Guzman,11/19/2020 15:55,11/19/2020 16:15
B-1142,1120201301FL,1120201301FL,NAL15-023,Accutek Home Inspections,11/20/2020 13:01,11/20/2020 16:35
B-1143,1120201303FL,1120201303FL,NAL15-023,Accutek Home Inspections,11/20/2020 13:03,11/20/2020 16:35
